Brand	CostPrice	CostPriceFrom	CostPriceInPoints	Description	Discount	Platform	PlatformProducts.0.Brand	PlatformProducts.0.Category	PlatformProducts.0.CostPrice	PlatformProducts.0.CostPriceFrom	PlatformProducts.0.CostPriceInPoints	PlatformProducts.0.Description	PlatformProducts.0.Discount	PlatformProducts.0.Platform	PlatformProducts.0.Sku	PlatformProducts.0.Url	PlatformProducts.0.Vendor	PlatformProducts.1.Brand	PlatformProducts.1.Category	PlatformProducts.1.CostPrice	PlatformProducts.1.CostPriceFrom	PlatformProducts.1.CostPriceInPoints	PlatformProducts.1.Description	PlatformProducts.1.Discount	PlatformProducts.1.Platform	PlatformProducts.1.Sku	PlatformProducts.1.Url	PlatformProducts.1.Vendor	PlatformProducts.10.Brand	PlatformProducts.10.Category	PlatformProducts.10.CostPrice	PlatformProducts.10.CostPriceFrom	PlatformProducts.10.CostPriceInPoints	PlatformProducts.10.Description	PlatformProducts.10.Discount	PlatformProducts.10.Platform	PlatformProducts.10.Sku	PlatformProducts.10.Url	PlatformProducts.10.Vendor	PlatformProducts.11.Brand	PlatformProducts.11.Category	PlatformProducts.11.CostPrice	PlatformProducts.11.CostPriceFrom	PlatformProducts.11.CostPriceInPoints	PlatformProducts.11.Description	PlatformProducts.11.Discount	PlatformProducts.11.Platform	PlatformProducts.11.Sku	PlatformProducts.11.Url	PlatformProducts.11.Vendor	PlatformProducts.12.Brand	PlatformProducts.12.Category	PlatformProducts.12.CostPrice	PlatformProducts.12.CostPriceFrom	PlatformProducts.12.CostPriceInPoints	PlatformProducts.12.Description	PlatformProducts.12.Discount	PlatformProducts.12.Platform	PlatformProducts.12.Sku	PlatformProducts.12.Url	PlatformProducts.12.Vendor	PlatformProducts.13.Brand	PlatformProducts.13.Category	PlatformProducts.13.CostPrice	PlatformProducts.13.CostPriceFrom	PlatformProducts.13.CostPriceInPoints	PlatformProducts.13.Description	PlatformProducts.13.Discount	PlatformProducts.13.Platform	PlatformProducts.13.Sku	PlatformProducts.13.Url	PlatformProducts.13.Vendor	PlatformProducts.14.Brand	PlatformProducts.14.Category	PlatformProducts.14.CostPrice	PlatformProducts.14.CostPriceFrom	PlatformProducts.14.CostPriceInPoints	PlatformProducts.14.Description	PlatformProducts.14.Discount	PlatformProducts.14.Platform	PlatformProducts.14.Sku	PlatformProducts.14.Url	PlatformProducts.14.Vendor	PlatformProducts.15.Brand	PlatformProducts.15.Category	PlatformProducts.15.CostPrice	PlatformProducts.15.CostPriceFrom	PlatformProducts.15.CostPriceInPoints	PlatformProducts.15.Description	PlatformProducts.15.Discount	PlatformProducts.15.Platform	PlatformProducts.15.Sku	PlatformProducts.15.Url	PlatformProducts.15.Vendor	PlatformProducts.16.Brand	PlatformProducts.16.Category	PlatformProducts.16.CostPrice	PlatformProducts.16.CostPriceFrom	PlatformProducts.16.CostPriceInPoints	PlatformProducts.16.Description	PlatformProducts.16.Discount	PlatformProducts.16.Platform	PlatformProducts.16.Sku	PlatformProducts.16.Url	PlatformProducts.16.Vendor	PlatformProducts.17.Brand	PlatformProducts.17.Category	PlatformProducts.17.CostPrice	PlatformProducts.17.CostPriceFrom	PlatformProducts.17.CostPriceInPoints	PlatformProducts.17.Description	PlatformProducts.17.Discount	PlatformProducts.17.Platform	PlatformProducts.17.Sku	PlatformProducts.17.Url	PlatformProducts.17.Vendor	PlatformProducts.18.Brand	PlatformProducts.18.Category	PlatformProducts.18.CostPrice	PlatformProducts.18.CostPriceFrom	PlatformProducts.18.CostPriceInPoints	PlatformProducts.18.Description	PlatformProducts.18.Discount	PlatformProducts.18.Platform	PlatformProducts.18.Sku	PlatformProducts.18.Url	PlatformProducts.18.Vendor	PlatformProducts.19.Brand	PlatformProducts.19.Category	PlatformProducts.19.CostPrice	PlatformProducts.19.CostPriceFrom	PlatformProducts.19.CostPriceInPoints	PlatformProducts.19.Description	PlatformProducts.19.Discount	PlatformProducts.19.Platform	PlatformProducts.19.Sku	PlatformProducts.19.Url	PlatformProducts.19.Vendor	PlatformProducts.2.Brand	PlatformProducts.2.Category	PlatformProducts.2.CostPrice	PlatformProducts.2.CostPriceFrom	PlatformProducts.2.CostPriceInPoints	PlatformProducts.2.Description	PlatformProducts.2.Discount	PlatformProducts.2.Platform	PlatformProducts.2.Sku	PlatformProducts.2.Url	PlatformProducts.2.Vendor	PlatformProducts.20.Brand	PlatformProducts.20.Category	PlatformProducts.20.CostPrice	PlatformProducts.20.CostPriceFrom	PlatformProducts.20.CostPriceInPoints	PlatformProducts.20.Description	PlatformProducts.20.Discount	PlatformProducts.20.Platform	PlatformProducts.20.Sku	PlatformProducts.20.Url	PlatformProducts.20.Vendor	PlatformProducts.21.Brand	PlatformProducts.21.Category	PlatformProducts.21.CostPrice	PlatformProducts.21.CostPriceFrom	PlatformProducts.21.CostPriceInPoints	PlatformProducts.21.Description	PlatformProducts.21.Discount	PlatformProducts.21.Platform	PlatformProducts.21.Sku	PlatformProducts.21.Url	PlatformProducts.21.Vendor	PlatformProducts.22.Brand	PlatformProducts.22.Category	PlatformProducts.22.CostPrice	PlatformProducts.22.CostPriceFrom	PlatformProducts.22.CostPriceInPoints	PlatformProducts.22.Description	PlatformProducts.22.Discount	PlatformProducts.22.Platform	PlatformProducts.22.Sku	PlatformProducts.22.Url	PlatformProducts.22.Vendor	PlatformProducts.23.Brand	PlatformProducts.23.Category	PlatformProducts.23.CostPrice	PlatformProducts.23.CostPriceFrom	PlatformProducts.23.CostPriceInPoints	PlatformProducts.23.Description	PlatformProducts.23.Discount	PlatformProducts.23.Platform	PlatformProducts.23.Sku	PlatformProducts.23.Url	PlatformProducts.23.Vendor	PlatformProducts.24.Brand	PlatformProducts.24.Category	PlatformProducts.24.CostPrice	PlatformProducts.24.CostPriceFrom	PlatformProducts.24.CostPriceInPoints	PlatformProducts.24.Description	PlatformProducts.24.Discount	PlatformProducts.24.Platform	PlatformProducts.24.Sku	PlatformProducts.24.Url	PlatformProducts.24.Vendor	PlatformProducts.25.Brand	PlatformProducts.25.Category	PlatformProducts.25.CostPrice	PlatformProducts.25.CostPriceFrom	PlatformProducts.25.CostPriceInPoints	PlatformProducts.25.Description	PlatformProducts.25.Discount	PlatformProducts.25.Platform	PlatformProducts.25.Sku	PlatformProducts.25.Url	PlatformProducts.25.Vendor	PlatformProducts.26.Brand	PlatformProducts.26.Category	PlatformProducts.26.CostPrice	PlatformProducts.26.CostPriceFrom	PlatformProducts.26.CostPriceInPoints	PlatformProducts.26.Description	PlatformProducts.26.Discount	PlatformProducts.26.Platform	PlatformProducts.26.Sku	PlatformProducts.26.Url	PlatformProducts.26.Vendor	PlatformProducts.27.Brand	PlatformProducts.27.Category	PlatformProducts.27.CostPrice	PlatformProducts.27.CostPriceFrom	PlatformProducts.27.CostPriceInPoints	PlatformProducts.27.Description	PlatformProducts.27.Discount	PlatformProducts.27.Platform	PlatformProducts.27.Sku	PlatformProducts.27.Url	PlatformProducts.27.Vendor	PlatformProducts.28.Brand	PlatformProducts.28.Category	PlatformProducts.28.CostPrice	PlatformProducts.28.CostPriceFrom	PlatformProducts.28.CostPriceInPoints	PlatformProducts.28.Description	PlatformProducts.28.Discount	PlatformProducts.28.Platform	PlatformProducts.28.Sku	PlatformProducts.28.Url	PlatformProducts.28.Vendor	PlatformProducts.29.Brand	PlatformProducts.29.Category	PlatformProducts.29.CostPrice	PlatformProducts.29.CostPriceFrom	PlatformProducts.29.CostPriceInPoints	PlatformProducts.29.Description	PlatformProducts.29.Discount	PlatformProducts.29.Platform	PlatformProducts.29.Sku	PlatformProducts.29.Url	PlatformProducts.29.Vendor	PlatformProducts.3.Brand	PlatformProducts.3.Category	PlatformProducts.3.CostPrice	PlatformProducts.3.CostPriceFrom	PlatformProducts.3.CostPriceInPoints	PlatformProducts.3.Description	PlatformProducts.3.Discount	PlatformProducts.3.Platform	PlatformProducts.3.Sku	PlatformProducts.3.Url	PlatformProducts.3.Vendor	PlatformProducts.4.Brand	PlatformProducts.4.Category	PlatformProducts.4.CostPrice	PlatformProducts.4.CostPriceFrom	PlatformProducts.4.CostPriceInPoints	PlatformProducts.4.Description	PlatformProducts.4.Discount	PlatformProducts.4.Platform	PlatformProducts.4.Sku	PlatformProducts.4.Url	PlatformProducts.4.Vendor	PlatformProducts.5.Brand	PlatformProducts.5.Category	PlatformProducts.5.CostPrice	PlatformProducts.5.CostPriceFrom	PlatformProducts.5.CostPriceInPoints	PlatformProducts.5.Description	PlatformProducts.5.Discount	PlatformProducts.5.Platform	PlatformProducts.5.Sku	PlatformProducts.5.Url	PlatformProducts.5.Vendor	PlatformProducts.6.Brand	PlatformProducts.6.Category	PlatformProducts.6.CostPrice	PlatformProducts.6.CostPriceFrom	PlatformProducts.6.CostPriceInPoints	PlatformProducts.6.Description	PlatformProducts.6.Discount	PlatformProducts.6.Platform	PlatformProducts.6.Sku	PlatformProducts.6.Url	PlatformProducts.6.Vendor	PlatformProducts.7.Brand	PlatformProducts.7.Category	PlatformProducts.7.CostPrice	PlatformProducts.7.CostPriceFrom	PlatformProducts.7.CostPriceInPoints	PlatformProducts.7.Description	PlatformProducts.7.Discount	PlatformProducts.7.Platform	PlatformProducts.7.Sku	PlatformProducts.7.Url	PlatformProducts.7.Vendor	PlatformProducts.8.Brand	PlatformProducts.8.Category	PlatformProducts.8.CostPrice	PlatformProducts.8.CostPriceFrom	PlatformProducts.8.CostPriceInPoints	PlatformProducts.8.Description	PlatformProducts.8.Discount	PlatformProducts.8.Platform	PlatformProducts.8.Sku	PlatformProducts.8.Url	PlatformProducts.8.Vendor	PlatformProducts.9.Brand	PlatformProducts.9.Category	PlatformProducts.9.CostPrice	PlatformProducts.9.CostPriceFrom	PlatformProducts.9.CostPriceInPoints	PlatformProducts.9.Description	PlatformProducts.9.Discount	PlatformProducts.9.Platform	PlatformProducts.9.Sku	PlatformProducts.9.Url	PlatformProducts.9.Vendor	Sku	Url	Vendor	_id
Mondial	39.9	99.9	2100	Chapinha | Prancha Mondial Chrome Pink P19 220°C Cerâmica e Tourmaline - Rosa	0.600600600600601	excel-import			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia																																																																																																																	11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia																																																																																																																	11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia			11.970	14.280					CB9172720	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Brinquedos/Bonecas/Baby-Alive/Boneca-Hasbro-Baby-Alive---Sobremesa-Magica--Chapinha-|-Prancha-Mondial-Chrome-Pink-P19-220°C-Ceramica-e-Tourmaline-Bivolt---Rosa/_/CB9172720?categoryId=CB1724	Casas Bahia	12358760	https://www.santanderesfera.com.br/produto/chapinha-prancha-mondial-chrome-pink-p19-220c-ceramica-e-tourmaline-rosa/1156402	Ponto Frio	5b1c24521d6cf3034f4bab1f
Circus	45.91	57.39	2416.31578947368	VINHO TINTO CIRCUS CABERNET SAUVIGNON 2016	0.2	excel-import			3.640						GRU1738499	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Vinho/Tinto/CIRCUS-CABERNET-SAUVIGNON-2016/_/GRU1738499?categoryId=GRU5	Grand Cru			3.500	3.500	3.500			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						1.000	1.000	1.000			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																								2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo				GRE24694	https://www.santanderesfera.com.br/produto/vinho-tinto-circus-cabernet-sauvignon-2016/1157979	Brasil CT	5b1c3e911d6cf3034f516297
Menguante	64.31	80.39	3384.73684210526	VINHO TINTO MENGUANTE ROBLE TEMPRANILLO 2015	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE23637	https://www.santanderesfera.com.br/produto/vinho-tinto-menguante-roble-tempranillo-2015/1142016	Brasil CT	5b1c3e921d6cf3034f5162a8
Chruchill	64.31	80.39	3384.73684210526	VINHO TINTO CHURCHILL S MEIO QUEIJO DOURO TINTO 2014	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE24771	https://www.santanderesfera.com.br/produto/vinho-tinto-churchill-s-meio-queijo-douro-tinto-2014/1158056	Brasil CT	5b1c3e921d6cf3034f5162b4
Victoria Geisse	64.31	80.39	3384.73684210526	VINHO ESPUMANTE VICTORIA GEISSE VINTAGE ROSE 12 MESES	0.2	excel-import			4.590						GRU1738461	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Espumante/Corte/VICTORIA-GEISSE-VINTAGE-12-MESES/_/GRU1738461?categoryId=GRU19	Grand Cru			3.500	3.500	3.500			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						1.000	1.000	1.000			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																								2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo				GRE23636	https://www.santanderesfera.com.br/produto/vinho-espumante-victoria-geisse-vintage-rose-12-meses/1142015	Brasil CT	5b1c3e921d6cf3034f5162c5
San marzano	68.91	86.14	3626.84210526316	VINHO TINTO SAN MARZANO IL PUMO NEGROAMARO SALENTO 2016	0.2	excel-import			4.590						GRU1738455	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Vinho/Tinto/SAN-MARZANO-IL-PUMO-ROSSO-SALENTO-2014/_/GRU1738455?categoryId=GRU5	Grand Cru			3.500	3.500	3.500			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						1.000	1.000	1.000			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																								2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo				GRE24759	https://www.santanderesfera.com.br/produto/vinho-tinto-san-marzano-il-pumo-negroamaro-salento-2016/1158044	Brasil CT	5b1c3e921d6cf3034f5162e5
Mirandelle	73.51	91.89	3868.94736842105	VINHO TINTO MIRANDELLE LURTON ROUGE 2016	0.2	excel-import			3.500	3.500	3.500			Livelo						1.000	1.000	1.000			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						2.100	2.100	2.100			Livelo						2.000	2.000	2.000			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																																			1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo						3.700	3.700	3.700			Livelo				GRE24752	https://www.santanderesfera.com.br/produto/vinho-tinto-mirandelle-lurton-rouge-2016/1158037	Brasil CT	5b1c3e921d6cf3034f51631c
Coteaux Bourguignons	73.51	91.89	3868.94736842105	VINHO TINTO COTEAUX BOURGUIGNONS AOP ROUGE 2014	0.2	excel-import			5.060						GRU1738470	http://www.pontosmultiplus.com.br//troque/grandcru/produto/Vinho/Tinto/VINHO-TINTO-PATRICK-CLERGET-COTEAUX-BOURGUIGNONS-AOP-2014-750-ML/_/GRU1738470?categoryId=GRU5	Grand Cru			3.500	3.500	3.500			Livelo						3.700	3.700	3.700			Livelo						2.000	2.000	2.000			Livelo						2.100	2.100	2.100			Livelo						4.800	4.800	4.800			Livelo						4.000	4.000	4.000			Livelo						3.800	3.800	3.800			Livelo						3.100	3.100	3.100			Livelo						3.000	3.000	3.000			Livelo						3.300	3.300	3.300			Livelo						3.300	3.300	3.300			Livelo						1.000	1.000	1.000			Livelo						2.100	2.100	2.100			Livelo						6.800	6.800	6.800			Livelo						3.500	3.500	3.500			Livelo						5.700	5.700	5.700			Livelo																																																																								2.000	2.000	2.000			Livelo						1.900	1.900	1.900			Livelo						2.600	2.600	2.600			Livelo						2.700	2.700	2.700			Livelo						3.100	3.100	3.100			Livelo						4.700	4.700	4.700			Livelo						2.900	2.900	2.900			Livelo				GRE24751	https://www.santanderesfera.com.br/produto/vinho-tinto-coteaux-bourguignons-aop-rouge-2014/1158036	Brasil CT	5b1c3e921d6cf3034f51633d
Mondial	79.9	104.28	4205.26315789474	Chapinha | Prancha Mondial Golden Rose P20 220°C Cerâmica e Tourmaline - Rosa	0.23379363252781	excel-import			5.900	6.770					PF8789684	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Chapinhas-e-Pranchas-de-Cabelo/Chapinha-|-Prancha-Mondial-Golden-Rose-P20-220°C-Ceramica-e-Tourmaline---Rosa/_/PF8789684?categoryId=PF103	Ponto Frio			5.900	6.770					PF8789684	http://www.pontosmultiplus.com.br//troque/pontofrio/produto/Beleza-e-Saúde/Cuidados-Femininos/Chapinhas-e-Pranchas-de-Cabelo/Chapinha-|-Prancha-Mondial-Golden-Rose-P20-220°C-Ceramica-e-Tourmaline---Rosa/_/PF8789684?categoryId=PF103	Ponto Frio																																																																																																																																																																																																																																																																																																																					12358754	https://www.santanderesfera.com.br/produto/1158830	Casas Bahia	5b1c3e921d6cf3034f51637a
PS4	84.9	229.88	4468.42105263158	Jogo Batman Return to Arkham - PS4	0.630676874891248	excel-import			8.361	20.190				Smiles	6805942_7	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=7&p=6805942_7&n=Jogo+Batman+Return+to+Arkham+-+PS4	Casas Bahia			8.361	20.190				Smiles	6805942_3	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=3&p=6805942_3&n=Jogo+Batman+Return+to+Arkham+-+PS4	Extra																																																																																																																	8.361	20.190				Smiles	6805942_4	https://www.shoppingsmiles.com.br/smiles//smiles/produto.jsf?f=4&p=6805942_4&n=Jogo+Batman+Return+to+Arkham+-+PS4	Ponto Frio																																																																																																																	5.310	11.630					CB6805942	http://www.pontosmultiplus.com.br//troque/casasbahia/produto/Games/Playstation-4/Jogos-Playstation-4/Jogo-Batman-Return-to-Arkham---PS4/_/CB6805942?categoryId=CB2518	Casas Bahia			5.600	5.600	5.600			Livelo																																																											10325760	https://www.santanderesfera.com.br/produto/jogo-batman-return-to-arkham-ps4/1127336	Extra	5b1c3e931d6cf3034f516391
